id;code;date;details;status;payment_method;payment_date;payment_amount
1;notwithstanding;2023-12-15T20:28:48;appetizer whoever till;CANCELLED;PAYPAL;2023-12-15T21:42:01;9093.04
2;pupil;2023-12-15T03:28:07;reuse droopy police;ISSUED;PAYPAL;2023-12-15T03:37:02;112.55
3;unlike gator;2023-12-15T19:53:45;enfranchise;ISSUED;PAYPAL;2023-12-15T06:18:13;30370.2
4;eyeliner gently;2023-12-15T12:27:00;cloak;CANCELLED;PAYPAL;2023-12-15T06:12:05;4830.26
5;populist contextualize;2023-12-15T11:50:49;hourly wetly;ISSUED;PAYPAL;2023-12-15T16:38:23;9009.78
6;unfortunately indeed though;2023-12-15T04:32:31;oof impressive;ISSUED;CASH_ON_DELIVERY;2023-12-15T16:51:17;23509.59
7;minus ketch yieldingly;2023-12-15T06:05:16;continually which;PAID;PAYPAL;2023-12-15T11:57:10;24573.18
8;including whoa hastily;2023-12-15T00:49:09;whoever;PAID;CASH_ON_DELIVERY;2023-12-15T17:36:50;18612.73
9;wow boo;2023-12-15T15:14:32;corridor;PAID;CASH_ON_DELIVERY;2023-12-15T22:28:19;5617.92
10;vision;2023-12-15T12:25:49;what birth gosh;ISSUED;CASH_ON_DELIVERY;2023-12-15T18:30:40;20623.81
