id;tracking_code;date;details;invoice_id
1;overconfidently;2023-12-15T06:49:01;dehumanise because;1
2;subdued bah;2023-12-15T07:41:24;where soup;2
3;bitter lipid;2023-12-15T01:41:40;from;3
4;hm yahoo;2023-12-15T13:26:31;whenever drat excepting;4
5;excitedly;2023-12-15T01:21:06;afterwards notwithstanding supposing;5
6;reluctantly;2023-12-15T12:29:05;commonly airfare;6
7;adorable terrific synthesis;2023-12-15T04:00:36;pheromone;7
8;oof precious;2023-12-15T09:21:19;interface;8
9;considering;2023-12-14T23:56:17;ugh knowingly;9
10;yellow excepting;2023-12-15T17:12:52;battleship under spat;10
